Label,Timestamp,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Ch_11,Ch_12,Ch_13,Ch_14,Ch_15,Ch_16,Ch_17,Ch_18
Healthy,2026-02-08 15:53:13,31.777732849121094,154.88357543945312,459.2501831054688,165.03341674804688,179.85569763183594,192.43516540527344,43.68511199951172,47.48963928222656,34.92202377319336,70.60469055175781,4.717581748962402,4.78316593170166,1208.2789306640625,747.656982421875,1707.9527587890625,941.74365234375,319.8263854980469,148.76345825195312
Healthy,2026-02-08 15:53:34,49.70363235473633,292.8707580566406,883.8054809570312,276.4519348144531,303.6907653808594,339.991455078125,43.06103897094727,52.42362976074219,46.39640426635742,77.46903991699219,5.39152193069458,5.739799499511719,975.1630859375,569.8923950195312,1517.732421875,817.656982421875,277.8819580078125,124.73243713378906
Healthy,2026-02-08 15:57:23,21.18515586853028,78.84982299804688,251.9941253662109,108.06756591796876,115.72682189941406,138.03652954101562,24.962921142578125,25.903440475463867,17.959897994995117,29.90893173217773,3.369701147079468,2.86989974975586,318.5148010253906,210.1804962158203,777.0016479492188,472.5153503417969,159.91319274902344,67.5157241821289
Healthy,2026-02-08 15:57:29,21.18515586853028,82.60457611083984,262.0373840332031,116.44490051269533,122.36084747314452,147.55628967285156,28.707359313964844,28.9871826171875,20.454328536987305,33.34110641479492,3.369701147079468,3.82653284072876,362.3682861328125,223.7742614746093,833.4229125976562,497.9901123046875,169.5254669189453,72.09306335449219
Healthy,2026-02-08 15:57:34,21.18515586853028,79.78850555419922,263.8634338378906,112.25623321533205,123.09796142578124,142.79640197753906,27.459213256835938,27.7536849975586,18.957670211791992,32.3604850769043,3.369701147079468,3.82653284072876,346.21173095703125,218.5458831787109,810.0484008789062,484.84185791015625,166.9039306640625,69.80438995361328
Healthy,2026-02-08 15:58:37,20.370342254638672,75.0950698852539,253.82017517089844,119.79582977294922,123.83507537841795,140.07647705078125,26.21106719970703,28.370433807373047,23.44764518737793,55.89538192749024,4.043641567230225,4.78316593170166,727.044677734375,312.65655517578125,1001.07470703125,579.3449096679688,202.73147583007807,85.8250732421875
Healthy,2026-02-08 15:58:43,19.55552864074707,75.0950698852539,250.1680908203125,122.30902862548828,123.83507537841795,141.4364471435547,28.707359313964844,30.220680236816406,25.44318962097168,58.83724594116211,4.717581748962402,4.78316593170166,762.8198852539062,321.0219421386719,1023.6432495117188,587.5625610351562,204.4791717529297,86.96940612792969
Healthy,2026-02-08 15:58:49,20.370342254638672,76.03375244140625,257.4722595214844,124.82222747802734,127.52064514160156,144.1563720703125,28.08328628540039,30.220680236816406,24.94430351257324,58.83724594116211,4.717581748962402,4.78316593170166,783.5925903320312,325.20465087890625,1026.8673095703125,587.5625610351562,205.3530120849609,86.96940612792969
Healthy,2026-02-08 16:00:31,17.925901412963867,66.6468734741211,196.29977416992188,99.69023895263672,114.98970794677734,135.99658203125,32.45179748535156,35.154666900634766,21.45210075378418,29.41862297058105,3.369701147079468,3.82653284072876,466.2318115234375,271.8752746582031,886.6201171875,559.62255859375,193.99305725097656,83.53640747070312
Healthy,2026-02-08 16:00:40,18.74071502685547,73.21768951416016,214.5602264404297,109.74303436279295,132.68043518066406,167.27578735351562,36.19623565673828,39.47190856933594,25.44318962097168,30.88955307006836,3.369701147079468,3.82653284072876,488.1585693359375,248.8704376220703,879.365966796875,553.0484008789062,192.2453765869141,83.53640747070312
